run,array_mib,vazao_mibs
1,16,3221.909
2,16,3224.506
3,16,3469.963
4,16,3369.130
5,16,2971.768
6,16,3320.880
7,16,3093.581
8,16,2789.400
9,16,3871.280
10,16,3804.994
11,16,3234.937
12,16,3883.495
13,16,3770.917
14,16,3402.084
15,16,3345.181
16,16,3510.312
17,16,3678.161
18,16,3305.102
19,16,3611.738
20,16,3559.511
21,16,3451.996
22,16,3856.351
23,16,3437.903
24,16,3902.439
25,16,3696.858
26,16,3878.788
27,16,3939.916
28,16,3987.042
29,16,3848.930
30,16,3647.971
1,128,3640.397
2,128,3711.543
3,128,4673.580
4,128,3821.124
5,128,4262.972
6,128,4545.777
7,128,4272.506
8,128,4717.850
9,128,4661.495
10,128,4484.462
11,128,4467.090
12,128,3127.978
13,128,3812.701
14,128,4702.252
15,128,4716.981
16,128,4559.216
17,128,3199.840
18,128,4530.653
19,128,4654.884
20,128,4379.512
21,128,4723.247
22,128,4652.346
23,128,4570.123
24,128,3794.504
25,128,3883.142
26,128,3775.811
27,128,4380.411
28,128,2722.477
29,128,3903.629
30,128,3799.911
1,1024,2950.396
2,1024,3116.621
3,1024,3071.515
4,1024,2151.152
5,1024,2045.296
6,1024,5030.211
7,1024,4281.831
8,1024,3992.903
9,1024,4560.516
10,1024,5023.375
11,1024,4371.305
12,1024,4979.479
13,1024,4034.196
14,1024,4911.695
15,1024,4845.800
16,1024,4494.264
17,1024,4788.896
18,1024,5132.884
19,1024,4251.079
20,1024,3515.663
21,1024,4937.486
22,1024,4896.874
23,1024,4393.285
24,1024,4671.682
25,1024,4046.455
26,1024,1443.551
27,1024,4608.108
28,1024,4972.081
29,1024,4964.295
30,1024,3805.432
