run,threads,eventos_por_segundo
1,1,2145.69
2,1,2067.30
3,1,2144.75
4,1,2102.03
5,1,2145.44
6,1,1994.86
7,1,2066.53
8,1,2135.73
9,1,2033.17
10,1,1995.16
11,1,2006.27
12,1,1735.31
13,1,1976.80
14,1,2068.21
15,1,2063.91
16,1,2075.78
17,1,2051.54
18,1,2104.61
19,1,2088.98
20,1,2033.39
21,1,1933.01
22,1,1910.14
23,1,1873.85
24,1,2011.27
25,1,2022.21
26,1,2020.39
27,1,2018.32
28,1,2005.22
29,1,2019.86
30,1,2029.37
1,2,3675.39
2,2,3544.26
3,2,3268.93
4,2,3528.95
5,2,3243.15
6,2,3285.15
7,2,3307.84
8,2,3541.90
9,2,3333.38
10,2,3540.77
11,2,3410.42
12,2,3425.89
13,2,3868.42
14,2,3557.41
15,2,3737.30
16,2,3551.54
17,2,3557.07
18,2,3622.31
19,2,3594.58
20,2,3575.15
21,2,3647.82
22,2,3639.20
23,2,3634.61
24,2,3648.63
25,2,3262.35
26,2,3346.61
27,2,3341.94
28,2,3341.43
29,2,3463.99
30,2,3579.00
1,4,6772.81
2,4,6129.52
3,4,6248.61
4,4,6389.48
5,4,6493.04
6,4,7802.26
7,4,8004.60
8,4,7121.41
9,4,7436.39
10,4,7810.78
11,4,7263.25
12,4,7159.42
13,4,7146.21
14,4,6738.23
15,4,5787.08
16,4,6354.50
17,4,6072.21
18,4,6698.13
19,4,6596.39
20,4,7011.74
21,4,6623.34
22,4,6785.80
23,4,6734.11
24,4,6669.53
25,4,7449.21
26,4,8026.29
27,4,7165.66
28,4,7180.20
29,4,7149.53
30,4,7057.61
1,6,10837.05
2,6,10851.08
3,6,10770.51
4,6,10704.19
5,6,10677.74
6,6,10306.59
7,6,10575.44
8,6,10839.35
9,6,10889.76
10,6,10662.01
11,6,10832.35
12,6,10758.47
13,6,10434.55
14,6,10463.68
15,6,10681.91
16,6,10591.21
17,6,10557.35
18,6,10486.83
19,6,9867.80
20,6,9355.69
21,6,9121.49
22,6,10804.76
23,6,10341.19
24,6,9903.39
25,6,9910.43
26,6,10437.96
27,6,9371.45
28,6,9716.66
29,6,10706.20
30,6,9306.02
1,12,15912.51
2,12,16755.80
3,12,16701.61
4,12,15847.13
5,12,15297.26
6,12,14961.35
7,12,16375.82
8,12,16022.10
9,12,16566.59
10,12,16005.93
11,12,15052.30
12,12,16397.27
13,12,16249.96
14,12,14589.39
15,12,16256.63
16,12,16057.57
17,12,16970.73
18,12,14569.64
19,12,15081.22
20,12,16266.38
21,12,16130.26
22,12,16165.41
23,12,16048.30
24,12,15602.05
25,12,16922.01
26,12,16229.25
27,12,16649.69
28,12,16979.96
29,12,17066.30
30,12,16645.43
